Station Name,Station information,Phone number,Access,Access times,Level 1 charging stations,Level 2 charging stations,DC Fast charging stations,Network,Network website,Open date,Connections,Address,City,State,Zip code,Location 1
Lucky,,877-455-3833,Public - Card key at all times,,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,6843 Mission St,Daly City,CA,94014,
CITY OF REDWOOD,VETERANS BLDING; Near front entrance,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,799 St Francis St,Redwood City,CA,94061,
San Mateo Caltrain Station,,877-455-3833,Public - Card key at all times,,,2,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,385 1st Ave,San Mateo,CA,94401,
ORACLE RWSHORE,220 GARAGE-001; Inside garage 220 on ground level stalls 2-9 & 2-8220 GARAGE-002; Inside garage 220 on ground level stalls 2-6 & 2-7,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,200 Oracle Pkwy,Redwood City,CA,94065,
PRIVATE GNE,PS 2 NEW 1; -PS 2 NEW 2PS 2 NEW 3PS 2 NEW 4PS-2-1 (FAST); NO PUBLIC ACCESS - Genentech Parking Structure near Building 36PS-2-2A & 2B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36PS-2-3A &3B;; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36PS-2-4A & 4B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36PS-2-5A & 5B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36PS-2-6A & 6B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 36,888-758-4389,Private,,,16,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,353 Point San Bruno Blvd,South San Francisco,CA,94080,
METRO TOWER,METRO TOWER E1; East Garage Tower First levelMETRO TOWER E2; East Garage TowerMETRO TOWER W1; West Garage 2nd FloorMETRO TOWER W2; West Garage 2nd FloorMETRO TOWER W3; -,888-758-4389,Public,,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,950 Tower Ln,Foster City,CA,94404,
TOWERS AT SHORE,203 STATION 1; Garages Level 1203 STATION 2; 206 Garage Level 1,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,270 Electronic Arts Dr,Redwood City,CA,94065,
BEST WESTERN CH,EV STATION 01,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1400 Cabrillo Hwy S,Half Moon Bay,CA,94019,
PARK PLACE,EV B; Drive to basement level in garage and follow the EV charging station signs EV C; -EV1; located in basement of buildingEV2; located in basementEV3; located in basementEV4; located in basement,888-758-4389,Public,,,3,8,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,1100 Park Pl,San Mateo,CA,94403,
ELAN MENLO PARK,H35; Residents onlyL62; -M65; -,888-758-4389,Public,,,3,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3645 Haven Ave,Menlo Park,CA,94025,
SCAVENGER,SSF SCAVENGER; 7:00 AM to 4:30 PM Monday through Friday. Gate closes at 4:30 PM daily. Must exit by 4:30 PM. Closed Saturday and Sunday.,888-758-4389,Public,,1,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772 NEMA520,500 E Jamie Ct,South San Francisco,CA,94080,
METRO TOWER,989 E HILSDLE 3; Parking area 989 E HLDSLE 2; Parking area 989 E HLSDLE 1; Parking area,888-758-4389,Public,,,5,,ChargePoint Network,http://www.chargepoint.com/,,J1772,Portal Ln,Foster City,CA,94404,
Seal Cove Inn - Tesla Destination,,650-728-4114  877-798-3752,Public,,,1,,Tesla Destination,https://www.tesla.com/destination-charging,08/01/2015,TESLA,221 Cypress Ave,Moss Beach,CA,94038,
Target - Tesla Supercharger,,877-798-3752,Public,,,,12,Tesla,http://www.teslamotors.com/supercharger,07/23/2018,TESLA,2220 Bridgepointe Pkwy,San Mateo,CA,94404,
CITY OF REDWOOD,PUBLIC WORKS; IN BACK OF PARKING LOT,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1400 Broadway,Redwood City,CA,94063,
Greenlots - 52217,,855-900-7584,Public,,,6,,Greenlots,http://greenlots.com/,,J1772,1949 Pacific Blvd.,San Mateo,CA,94403,
ORACLE RWSHORE,320 GARAGE-001; Inside garage 320 on 2nd fl near elevator320 GARAGE-002; Inside garage 320 on 2nd fl furthest from elevator,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,300 Oracle Pkwy,Redwood City,CA,94065,
CITY OF REDWOOD,RED MORTON LEFT; Red Morton Community Center parking lot,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1014 King St,Redwood City,CA,94061,
Palo Alto Technology Center,,,Private,,,6,,,,11/15/2017,J1772,1810 Embarcadero Rd,Palo Alto,CA,94303,
Gateway Blvd,,800-663-5633,Public - Card key at all times,,,2,,SemaCharge Network,http://www.semacharge.com/,,J1772,"601 Gateway Boulevard, Suite 930",South San Francisco,CA,94080,
FACEBOOK,MPK 46-1; -MPK 46-2; -MPK 46-3; -MPK 46-5; -MPK 46-6; -MPK 46-7; -MPK 46G-4; -,888-758-4389,Public,,,14,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1005 Hamilton Ave MPK 46,Menlo Park,CA,94025,
CITY OF REDWOOD,L3 MARSHALL ST; -,888-758-4389,Public,,,,1,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO,750 Marshall St,Redwood City,CA,94063,
BMW PETER PAN,STATION DC200; -,888-758-4389,Public,,,,1,ChargePoint Network,http://www.chargepoint.com/,,J1772COMBO,1625 Adrian Rd,Burlingame,CA,94010,
HARBOR COVE,EV CHARGER 01; Near to the leasing office,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,900 E Hillsdale Blvd,Foster City,CA,94404,
JEFFERSON,JESD 1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,101 Lincoln Ave,Daly City,CA,94015,
SLAC National Accelerator Laboratory,Building 35,,Private,,,1,,,,06/30/2014,J1772,2575 Sand Hill Rd,Menlo Park,CA,94025,
EVSE MANAGEMENT,WALGREENS EC 1; Charging station by front of store on Country Club Dr,888-758-4389,Public,,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,399 El Camino Real,South San Francisco,CA,94080,
PRIVATE GNE,PS A NEW 1; On the second floor across from the elevatorsPS A NEW 2; Near Front Entrance on first floorPS A NEW 3;  Near main entrance on first floorPS A NEW 4; Near main entrance first floorPS A NEW 5; Near main entrance on first floorPS A NEW 6; On the second floor across from elevatorsPS A NEW 7PS-A-1; NO PUBLIC ACCESS - Genentech parking structure across from B44PS-A-2; NO PUBLIC ACCESS - Genentech parking structure across from B44,888-758-4389,Private,,,16,,ChargePoint Network,http://www.chargepoint.com/,,J1772,450 E Grand Ave,South San Francisco,CA,94080,
Linda Mar Shopping Center,,877-455-3833,Public - Card key at all times,,,,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772COMBO,1227 Linda Mar Shopping Ctr,Pacifica,CA,94044,
FACEBOOK,MPK 28 15,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,162 Jefferson Dr,Menlo Park,CA,94025,
THE COVE EV,171 OYSTER 2; Building 4171 OYSTER 3; Building 4171 OYSTER 4; Building 4171 OYSTER 5; Building 4171 OYSTER 6; Building 4171 OYSTER 7; Building 4171 OYSTER 8; Building 4,888-758-4389,Public,,,13,,ChargePoint Network,http://www.chargepoint.com/,,J1772,171 Oyster Point Blvd,South San Francisco,CA,94080,
Acterra,,650-962-9876,Public,24 hours daily,,2,,,,11/15/2017,,3921 E Bayshore Rd,Palo Alto,CA,94303,"(37.430989, -122.103339)"
The Ritz-Carlton - Half Moon Bay Golf Links - Tesla Destination,,650-712-7040  877-798-3752,Public,,,6,,Tesla Destination,https://www.tesla.com/destination-charging,07/01/2015,TESLA,1 Miramontes Point Rd,Half Moon Bay,CA,94019,
FACEBOOK,MPK 20 FC-Z3-1MPK 20-10MPK 20-11MPK 20-12MPK 20-13MPK 20-14; -MPK 20-15MPK 20-16MPK 20-17MPK 20-18MPK 20-19MPK 20-1; -MPK 20-20MPK 20-2; -MPK 20-3; -MPK 20-4; -MPK 20-5; -MPK 20-6; -MPK 20-7; -MPK 20-8; -MPK 20-9MPK 21 10; MPK21 Garage East of Lobby 9MPK 21 11; MPK21 Garage East of Lobby 9MPK 21 12; MPK21 Garage East of Lobby 9MPK 21 13; MPK21 Garage East of Lobby 9MPK 21 14; MPK21 Garage East of Lobby 9MPK 21 15; MPK21 Garage East of Lobby 9MPK 21 16; MPK21 Garage East of Lobby 9MPK 21 17; MPK21 Garage East of Lobby 9MPK 21 18; MPK21 Garage East of Lobby 9MPK 21 19; MPK21 Garage East of Lobby 9MPK 21 1; East side of MPK21 GarageMPK 21 20; MPK21 Garage East of Lobby 9MPK 21 21; MPK21 Garage East of Lobby 9MPK 21 22; East of Lobby 9MPK 21 23; MPK21 Garage East of Lobby 9MPK 21 24; MPK21 Garage East of Lobby 9MPK 21 25; MPK21 Garage East of Lobby 9MPK 21 26; MPK21 Garage East of Lobby 9MPK 21 27; East of Lobby 6MPK 21 28; MPK21 East of Lobby 6MPK 21 29; MPK21 Garage East of Lobby 9MPK 21 2; East side of MPK21 GarageMPK 21 30; MPK21 Garage East of Lobby 9MPK 21 3; East side of MPK21 GarageMPK 21 4; MPK21 Garage South East of Lobby 6MPK 21 5; MPK21 Garage South East of Lobby 6MPK 21 6; MPK21 Garage South East of Lobby 6MPK 21 7; MPK21 Garage South East of Lobby 6MPK 21 8; MPK21 Garage South East of Lobby 6MPK 21 9; MPK21 Garage East of Lobby 9MPK 21 FC 1; East of Lobby 9MPK 21 FC 2; East of Lobby 9MPK 21 FC 3; East of lobby 9MPK 21 FC 4; East of Lobby 9MPK 21 FC 5; East of lobby 8MPK 21 FC 6; East of Lobby 8,888-758-4389,Public,,,100,14,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,1 Facebook Way,Menlo Park,CA,94025,
San Francisco Airport - Marriott Waterfront - Tesla Destination,,650-692-9100  877-798-3752,Public,,,1,,Tesla Destination,https://www.tesla.com/destination-charging,07/20/2011,TESLA,1800 Old Bayshore Hwy,Burlingame,CA,94010,
STATION 1,SHARON GREEN 2; On second levelSHARON GREEN 3; -SHARON GREEN 4; -SHARON GREEN 5; -SHARON GREEN 6; -,888-758-4389,Public,,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,350 Sharon Rd,Menlo Park,CA,94025,
SHOREBREEZE,275 STATION 1; -275 STATION 2; -,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,275 Shoreline Dr,Redwood City,CA,94065,
CARCHARGING,"WESTIN SFO; Enter parking lot, EVSE is located before exit gate on left.",888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Old Bayshore Hwy,Millbrae,CA,94030,
LOT V,STATION 2; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1051-1099 North Ln,Burlingame,CA,94010,
PUBLIC CHARGERS,CITY HALL; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1901-1941 O'Farrell St,San Mateo,CA,94403,
Hotel Focus SFO,The stations are located on the left side of the building.,800-663-5633,Public - Card key at all times,,,2,,SemaCharge Network,http://www.semacharge.com/,,J1772,111 Mitchell Avenue,South San Francisco,CA,94080,
ELAN MENLO PARK,GUEST 1; -,888-758-4389,Public,,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3651 Haven Ave,Menlo Park,CA,94025,
MENLO PARK,PARKINGPLAZA2 1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1198 Crane St,Menlo Park,CA,94025,
CITY OF REDWOOD,SHORES LIB CS4; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,San Francisco Bay Trail,Redwood City,CA,94065,
Menlo Park Veterans Affairs Medical Center,,,Private - Government only,,,1,,,,06/30/2014,J1772,795 Willow Rd,Menlo Park,CA,94025,
HMB,HMB-CORREAS ST; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,620 Correas St,Half Moon Bay,CA,94019,
EMBARCADERO LOT,FCCPA STATION; Back parking lot,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1985 Louis Rd,Palo Alto,CA,94303,
FACEBOOK,MPK 18-1; -MPK 18-2; -MPK 18-3; -MPK 18-4; -,888-758-4389,Public,,,8,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Hacker Way Building 18,Menlo Park,CA,94025,
FACEBOOK,MPK 29-10GW; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,220 Jefferson Dr MPK 29,Menlo Park,CA,94025,
HUDSON POP,2800 STATION 12800 STATION 2,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2988 Campus Dr,San Mateo,CA,94403,
FACEBOOK,MPK 18-5,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,18 Hacker Way,Menlo Park,CA,94025,
BAYSHORE TECH,3200 BRIDGE PKY,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3200 Bridge Pkwy,Redwood City,CA,94065,
San Carlos Library,,877-455-3833,Public - Card key at all times,,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,610 Elm St,San Carlos,CA,94070,
BRISBANE MARINA,JAMES R. CORR; LOCATED IN MAIN LOT ACROSS FROM THE HARBOR MASTER'S OFFICE,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,400 Sierra Point Pkwy,Brisbane,CA,94005,
BAYSHORE TECH,1200 ISLAND DR1; -1200 ISLAND DR2,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1200 Bridge Pkwy,Redwood City,CA,94065,
MPCSD,HILLVIEW 1; In back parking lotHILLVIEW 2; Next to Adminstration Office Parking LotHILLVIEW 3; At the far end of Hillview Middle Schools parking lot near the large oak tree,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1100 Elder Ave,Menlo Park,CA,94025,
Town of Colma,,877-455-3833,Public - Card key at all times,,,,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772COMBO,1198 El Camino,Colma,CA,94014,
FACEBOOK,MPK 16-2; -MPK 16-3; -MPK 17-2 DCFC,888-758-4389,Public,,,4,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,1 Hacker Way,Menlo Park,CA,94025,
INFORMATICA,STATION 6; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2000 Seaport Blvd,Redwood City,CA,94063,
Nissan of Serramonte,,650-550-7200,Public - Call ahead,,,1,1,,,03/15/2011,CHADEMO J1772,1500 Collins Ave,Colma,CA,94014,
PRIVATE GNE,PS 1 NEW 1; -PS 1 NEW 2PS 1 NEW 3PS-1-1 (FAST); NO PUBLIC ACCESS - Genentech Parking Structure near Building 9PS-1-2A & 2B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9PS-1-3A & 3B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9PS-1-4A &4B;; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9PS-1-5A &5B;; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9PS-1-6A & 6B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9PS-1-7A & 7B; NO PUBLIC ACCESS - Genentech Parking Structure near Building 9,888-758-4389,Private,,,18,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,632 Forbes Blvd,South San Francisco,CA,94080,
FACEBOOK,MPK 29 FC-18MPK 29 FC-20MPK 29-13MPK 29-8,888-758-4389,Public,,,4,4,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,220 Constitution Dr,Menlo Park,CA,94025,
CITY OF REDWOOD,MAIN LIBRARY 1; Located in parking lot behind Library,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1016-1022 Middlefield Rd,Redwood City,CA,94063,
280 EAST GRAND,STATION1; South East corner of buildingSTATION2; At side entrance STATION3; At side entranceSTATION4; At side entrance STATION5; At side entrance,888-758-4389,Public,,,7,,ChargePoint Network,http://www.chargepoint.com/,,J1772,280 E Grand Ave,South San Francisco,CA,94080,
Nissan of Serramonte,,650-550-7200,Private,,,1,,,,03/15/2011,J1772,1500 Collins Ave,Colma,CA,94014,
PUBLIC CHARGERS,MAIN LIBRARY; First floor parking stalls,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,33-75 W 3rd Ave,San Mateo,CA,94402,
RELYPSA,STATION 1; Parking garageSTATION 2; Parking garageSTATION3; Employees parking garage STATION4; Employee parking garage STATION5; Employee parking garage,888-758-4389,Public,,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,100 Cardinal Way,Redwood City,CA,94063,
ORACLE RWSHORE,420 GARAGE-001; Inside garage 420 on ground level stalls 4-6 & 4-7420 GARAGE-002; Inside garage 420 on ground level stalls 4-8 & 4-9,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,400 Oracle Pkwy,Redwood City,CA,94065,
Bayhill III Office Center,The stations are located in the building side of the parking lot. Please look for signage.,800-663-5633,Public - Card key at all times,,,4,,SemaCharge Network,http://www.semacharge.com/,,J1772,801 Traeger AvenueSuite 110,San Bruno,CA,94066,
BAYSHORE TECH,1300 ISLAND DR; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1300 Island Drive,Redwood City,CA,94065,
SMCCD,CSM LOT 3; In the DaVinci Lot (Lot #3) on the west end,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1700 W Hillsdale Blvd,San Mateo,CA,94402,
ELAN MENLO PARK,A5; Residents onlyA6; -B7; Residents onlyB8; Residents onlyC10; Residents onlyC9; -H33; Residents onlyL61; Residents onlyM66; Residents onlySPACE 48; -,888-758-4389,Public,,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3465 Haven Ave,Menlo Park,CA,94025,
INTUIT INC,MENLO PARK 1; -MENLO PARK 2; -MENLO PARK 3; -MENLO PARK 4; -MENLO PARK 5; -,888-758-4389,Public,,,5,,ChargePoint Network,http://www.chargepoint.com/,,J1772,180 Jefferson Dr,Menlo Park,CA,94025,
CITY OF REDWOOD,RED MORTON RGHT,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1120 Roosevelt Ave,Redwood City,CA,94061,
LOT V,STATION 1; City parking lot V,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,294-298 California Dr,Burlingame,CA,94010,
SHC,RWCOPCEV10RWCOPCEV1; Garage level 1 RWCOPCEV2; Garage level 1 RWCOPCEV3; Garage level 1 RWCOPCEV4; Garage level 1 RWCOPCEV5; Garage level 1 RWCOPCEV6; Garage level 1 RWCOPCEV7; Garage level 1 RWCOPCEV8; Garage level 1 RWCOPCEV9; Garage level 1,888-758-4389,Public,,,18,,ChargePoint Network,http://www.chargepoint.com/,,J1772,460 Broadway,Redwood City,CA,94063,
MPCSD,UPPER CAMPUS; Visitor Parking Area in Front of School,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,275 Elliott Dr,Menlo Park,CA,94025,
600 HARRISON,PENLARK #1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2855 Campus Dr,San Mateo,CA,94403,
SKYWAY LANDING,STATION 1; -STATION 2; -,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,955 Skyway Rd,San Carlos,CA,94070,
601 MARSHALL,STATION 1STATION 2STATION 3STATION 4STATION 6,888-758-4389,Public,,,9,,ChargePoint Network,http://www.chargepoint.com/,,J1772,601 Marshall St,Redwood City,CA,94063,
Nissan of Burlingame,,650-347-4800,Private,,,1,,,,01/31/2012,J1772,101 California Dr,Burlingame,CA,94010,
ORACLE RWSHORE,5OP-001; Surface lot outside the garage5OP-002; Surface lot outside garage,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,520 Oracle Pkwy,Redwood City,CA,94065,
Boardwalk Nissan,,650-364-0100,Public - Call ahead,,,3,,,,03/15/2011,J1772,1 Bair Island Rd,Redwood City,CA,94063,
ProInsurance,,650-326-1900,Public,,2,1,,,,11/15/2017,J1772 NEMA520,3925 Bohannon Dr,Menlo Park,CA,94025,
HUDSON POP,2988 STATION 2; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2988 Campus Driver,San Mateo,CA,94403,
THE COVE EV,171 OYSTER 1; Building 4GL1 1; Ground floorGL1 2; Garage level 2GL1 3; Garage level 2GL1 4; Garage level 2GL2 1; Garage level 2 GWGL2 2; Garage level 2GL2 3; Garage level 2GL2 4; Garage level 2GL2 5; Garage level 2GL2 6; Garage level 2GL2 7; Garage level 2GL2 8; Garage level 2 GL2 9; Garage level 2GL3 10; Garage Level 3GL3 1; Garage level 3GL3 2; 3rd floor garage GL3 3; 3rd floor garageGL3 4; 3rd level garageGL3 5; Garage level 3GL3 6; Garage level 3GL3 7; Garage level 3GL3 8; Garage level 3GL3 9; Garage level 3,888-758-4389,Public,,,47,,ChargePoint Network,http://www.chargepoint.com/,,J1772,101 Oyster Point Blvd,South San Francisco,CA,94080,
SMCCD,SKY LOT K; North East Corner of Lot K,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,6 College Rd. Lot K 3300 College Dr,San Bruno,CA,94066,
MENLO PARK,PARKINGPLAZA2 2; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1148 Crane St,Menlo Park,CA,94025,
888 SAN MATEO,NORTH; For use by residents onlySOUTH; For use by residents only,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,888 N San Mateo Dr,San Mateo,CA,94401,
HUDSON 555 TWIN,555 STATION 1; -555 STATION 2; -,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,555 Twin Dolphin Dr,Redwood City,CA,94065,
FACEBOOK,MPK 10-1; Facebook Employees OnlyMPK 10-2; Facebook Employees OnlyMPK 10-3; -MPK 10-4MPK 10-5; -MPK 10-6,888-758-4389,Public,,,12,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Hacker Way Building 10,Menlo Park,CA,94025,
SKYWAY LANDING,STATION 3; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,999 Skyway Rd,San Carlos,CA,94070,
SAN MATEO CNTY,TR - PUBLIC#1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,30 Tower Rd,San Mateo,CA,94402,
